ache/ake – ached/oke – ached/aken,""
"be (am, is, are) – was, were – been",Suppletive. See Indo-European copula.
"bear – bore/*bare – borne/born

forbear – forbore/*forbare – forborne/forborn
*misbear – *misbore/*misbare – *misborne/misborn
overbear – overbore/*overbare – overborne/overborn
underbear – underbore/*underbare – underborne/underborn

","Strong, class 4. The spelling born is used in passive or adjectival contexts relating to birth."
"beat – beat – beaten/beat

browbeat – browbeat – browbeaten/browbeat
overbeat – overbeat – overbeaten/overbeat

","Strong, class 7"
"become – became – become

misbecome – misbecame – misbecome

","Strong, class 4"
"beget – begot/*begat – begotten/begot

misbeget – misbegot/*misbegat – misbegotten/misbegot

","Strong, class 5"
begin – began – begun,"Strong, class 3"
"bend – bent/*bended – bent/*bended

overbend – overbent/*overbended – overbent/*overbended
unbend – unbent/*unbended – unbent/*unbended

",Weak with coalescence of dentals
beseech – beseeched/*besought – beseeched/*besought,Weak with Rückumlaut and Germanic spirant law (now regularized)
"bet – bet/betted – bet/betted

underbet – underbet/underbetted – underbet/underbetted

",Weak with coalescence of dentals
beware – (no other forms),"Defective; formed from be with predicate adjective, used as infinitive, imperative and subjunctive only. Inflected forms (bewares, bewared, bewaring) are considered obsolete."
"bid [in auctions etc.] – bid – bid

outbid – outbid – outbid
overbid – overbid – overbid
rebid – rebid – rebid
underbid – underbid – underbid

",Weak with coalescence of dentals
bid [meaning to request or say] – bid/*bade – bid/*bidden,"Strong, class 5"
"bide – bided/bode – bided/bidden

abide – abided/*abode – abided/*abidden

","Strong, class 1"
"bind – bound – bound

unbind – unbound – unbound
underbind – underbound – underbound

","Strong, class 3"
"bite – bit – bitten

frostbite – frostbit – frostbitten

","Strong, class 1"
bleed – bled – bled,Weak with vowel shortening and coalescence of dentals
bless – blessed/*blest – blessed/*blest,"Weak, regular with alternative (archaic) spelling"
"blow – blew – blown

overblow – overblew – overblown

","Strong, class 7"
"break – broke – broken

outbreak – outbroke – outbroken
rebreak – rebroke – rebroken

","Strong, class 4"
"breed – bred – bred

inbreed – inbred – inbred
interbreed – interbred – interbred
overbreed – overbred – overbred

",Weak with vowel shortening and coalescence of dentals
bring – brought – brought,Weak with Rückumlaut and Germanic spirant law
"build – built – built

overbuild – overbuilt – overbuilt
rebuild – rebuilt – rebuilt
underbuild – underbuilt – underbuilt

",Weak with coalescence of dentals and devoiced ending
"burn – burned/burnt – burned/burnt

sunburn – sunburned/sunburnt – sunburned/sunburnt

",Weak with devoiced ending (or regular)
burst – burst/*brast – burst/*bursten,"Strong, class 3"
bust – busted/bust – busted/bust,"Strong, class 3 (or regular)"
"buy – bought – bought/*boughten

*abuy – *abought – *abought
overbuy – overbought – overbought
underbuy – underbought – underbought

",Weak with Rückumlaut and Germanic spirant law
can [auxiliary verb] – could – (none),"Preterite-present, defective. See English modal verbs"
